ADM_RATE,AGE_ENTRY,AVGFACSAL,CONTROL,COSTT4_A,ENDOWBEGIN,FEMALE,FIRST_GEN,GRAD_DEBT_MDN,LOCALE,MD_EARN_WNE_P10,MN_EARN_WNE_P10,PCIP14,PCIP27,PFTFAC,PCT_ASIAN,PCT_BLACK,PCT_WHITE,PCT_HISPANIC,PCTPELL,REGION,SAT_AVG,UGDS
0.9097,22.733373713,9973,Public,13365,45146813,0.6247122956,0.5968578162,14715,City,55258,48800,0.0093,0.0184,0.4662,4.71999979019165,9.72000026702881,58.1300010681152,39.5800018310546,0.603,Far West,NA,16595
0.6062,22.382135827,10556,Public,22108,105450164,0.4947096457,0.4927816639,16000,Surbuban,67406,58000,0.1548,0.0183,0.4535,15.6599998474121,5.55000019073486,52.3600006103515,40.9799995422363,0.485,Far West,NA,26802
0.8547,22.35678392,9593,Public,22469,62941713,0.5745917085,0.4734012975,16552,City,61010,55400,0.0546,0.0063,0.5639,5.6100001335144,2.72000002861022,77.5199966430664,16.8400001525878,0.4324,Far West,NA,14343
0.8959,25.305068383,9821,Public,14579,13967089,0.6572807723,0.5905017921,13807,City,49934,48500,0,0.0101,0.4384,8.93000030517578,21.1800003051757,38.2599983215332,45.4700012207031,0.6283,Far West,NA,15214
0.9728,22.340420892,9546,Public,17014,160725549,0.6211972522,0.5324517404,14505,City,55534,48500,0.0376,0.0068,0.5404,6.96000003814697,5.07999992370605,58.060001373291,40.8300018310546,0.5726,Far West,NA,21826
0.5943,22.855964516,10353,Public,14182,83135713,0.5980079371,0.4944552529,13750,Surbuban,58585,51800,0.0423,0.0087,0.4985,13.789999961853,4.26999998092651,57.7700004577636,37.3800010681152,0.4704,Far West,NA,35502
0.8236,24.616321762,10355,Public,22134,16921045,0.659212283,0.5092975207,16544,Surbuban,64188,58200,0.0084,0.0108,0.4484,19.2999992370605,12.8400001525878,50.0900001525879,22.2800006866455,0.4527,Far West,NA,12047
0.4685,22.631205088,10297,Public,18699,85609003,0.5901544561,0.4862716763,14289,City,60973,53000,0.0777,0.0116,0.4597,13.079999923706,8.3100004196167,53.6699981689453,36.7000007629394,0.5058,Far West,NA,33765
0.9054,23.049723757,10102,Public,13712,49109390,0.6057798555,0.6153393718,13000,City,54219,49900,0.0601,0.0074,0.4353,14.8800001144409,8.72999954223632,42.6899986267089,52.0499992370605,0.6616,Far West,NA,23506
0.881,22.681205723,10127,Public,19641,139512006,0.5794554799,0.5386728094,13872,City,56375,49700,0.0482,0.0066,0.4428,9.46000003814697,7.88999986648559,57.3699989318847,36.7900009155273,0.5666,Far West,NA,34436
